Date,Description,Original Description,Category,Amount,Status,My Category,E,Comment
10/10/2023,Cosmos Pizza,COSMOS PIZZA - DENVER CO DENVER       CO,Food & Dining,-30.05,Posted,Food - Nice,.,
10/10/2023,Spotify,PAYPAL           INST XFER  ***********USAI,Music,-11.9,Posted,Entertainment - Other,.,Spotify
10/10/2023,Bank Chestnut,TD BANK3250 CHESTNUT ST  PHILADELPHIA PA,Cash,-103.5,Posted,ATM,.,
10/10/2023,ATM Fee Rebate,ATM REBATE,Atm Fee,3.5,Posted,ATM,.,
10/11/2023,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-67.51,Posted,Groceries,.,
10/11/2023,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********4530,Financial,-136.07,Posted,Car/Rental Insurance,.,
10/12/2023,Qdoba,QDOBA 2063               WESTMINSTER  CA,Fast Food,-12.16,Posted,Food - Nice,.,
10/12/2023,127311211,AUTOMATIC PAYMENT - THANK YOU,Uncategorized,612.26,Posted,CC Payments,.,
10/12/2023,Recurring Reward Points Redemption,RECURRING REWARD POINTS REDEMPTION,Transfer,25,Posted,Income - Other,.,
10/13/2023,USAA Credit Card,USAA CREDIT CARD PAYMENT    ***********0051,Credit Card Payment,-612.26,Posted,CC Payments,.,
10/14/2023,Lucy's Burger Bar,TST* LUCY'S BURGER BAR   612-202-3545 CO,Food & Dining,-19.64,Posted,Food - Nice,.,
10/14/2023,USAA Credit Card,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Transfer,2500,Posted,CC Payments,.,
10/15/2023,Stoners Pizza Joint,TST* Stoners Pizza Joint 720-667-2934 CO,Food & Dining,-48.12,Posted,Going Out,.,D and D supplies
10/16/2023,Patreon,PAYPAL *PATREON INC  MEMB402-935-7733 CA,Entertainment,-2,Posted,Entertainment - Other,.,
10/16/2023,Barquentine Brewing Com,BARQUENTINE BREWING COM  DENVER       CO,Alcohol & Bars,-9.12,Posted,Going Out,.,Besties board games
10/16/2023,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-2500,Posted,CC Payments,.,
10/16/2023,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1000,Posted,Parental Funds,.,Repay Jill loan
10/17/2023,The Mac Shack,TST* THE MAC SHACK       EDGEWATER    CO,Restaurants,-16.3,Posted,Food - Nice,.,
10/17/2023,Xcel Energy,XCEL ENERGY-PSCO XCELENERGY ***********6821,Utilities,-12.4,Posted,Utilities,.,
10/19/2023,Mugi Ramen and Poke,MUGI RAMEN AND POKE      WESTMINSTER  CO,Food & Dining,-16.17,Posted,Food - Nice,.,
10/19/2023,Kum & Go,KUM&GO 2315R ARVADA      ARVADA       CO,Gas,-38.26,Posted,Car - Other,.,
10/19/2023,Mad Greens,MAD GREENS MG0115        WESTMINSTER  CO,Restaurants,-12.11,Posted,Food - Nice,.,
10/19/2023,Comcast,COMCAST 8497101  004180591  ***********5806,Utilities,-60.74,Posted,Internet,.,
10/19/2023,Xcel Energy,XCEL ENERGY-PSCO XCELENERGY ***********6821,Utilities,-12.3,Posted,Utilities,.,
10/22/2023,Post Oak Bbq,TST* POST OAK BBQ        DENVER       CO,Restaurants,-38.88,Posted,Food - Nice,.,
10/23/2023,Childhelp Backpack,CHILDHELP* BACKPACK DR   HTTPSWWW.BRANAZ,Business Services,-21.6,Posted,Other - Other,.,
10/23/2023,Xcel Energy,XCEL ENERGY-PSCO XCELENERGY ***********6821,Utilities,-36.15,Posted,Utilities,.,
10/24/2023,Taziki's,SQ *TAZIKIS MEDITERRANEANWestminster  CO,Restaurants,-13.18,Posted,Food - Nice,.,
10/24/2023,Walgreens,WALGREENS #5644          NORTHGLENN   CO,Pharmacy,-14.43,Posted,Housing - Other,.,
10/24/2023,Lucy's Burger Bar,TST* LUCY'S BURGER BAR   612-202-3545 CO,Food & Dining,-25.99,Posted,Food - Nice,.,
10/25/2023,Spirit Halloween,SPIRIT HALLOWEEN 60468   NORTHGLENN   CO,Shopping,-80,Posted,Big Fun,.,Halloween
10/25/2023,Disguises,DISGUISES                LAKEWOOD     CO,Clothing,-75.59,Posted,Big Fun,.,Halloween
10/26/2023,Chipotle,CHIPOTLE 0066            AURORA       CO,Fast Food,-14.85,Posted,Food - Nice,.,
10/26/2023,Interest Paid,INTEREST PAID,Interest Income,0.08,Posted,Income - Other,.,
10/27/2023,I Hop Ipa,SQ *I HOP IPA            BROOMFIELD   CO,Business Services,-11.65,Posted,Going Out,.,After work drinks
10/27/2023,Lyft,PAYPAL *LYFT TEMP AUTH HO402-935-7733 CA,Rental Car & Taxi,-19.99,Posted,Big Fun,.,Halloween
10/27/2023,Lucy's Burger Bar,TST* LUCY'S BURGER BAR   612-202-3545 CO,Food & Dining,-26.6,Posted,Food - Nice,.,
10/27/2023,Babajoon's Kabobs & More,BABAJOON`S KABOBS & MORE WESTMINSTER  CO,Restaurants,-28.46,Posted,Food - Nice,.,
10/27/2023,Xcel Energy,XCEL ENERGY-PSCO XCELENERGY ***********6821,Utilities,-5.22,Posted,Utilities,.,
10/28/2023,Lyft,PAYPAL *LYFT TEMP AUTH HO402-935-7733 CA,Rental Car & Taxi,-29.17,Posted,Big Fun,.,Halloween
10/28/2023,Steam,PAYPAL *STEAM GAMES      4259522985   WA,Entertainment,-16.23,Posted,Games,.,
10/30/2023,The Pasty Republic,SQ *THE PASTY REPUBLIC   Denver       CO,Fast Food,-11.87,Posted,Food - Nice,.,
10/30/2023,Safeway,SAFEWAY #0244            DENVER       CO,Groceries,-81.15,Posted,Groceries,.,
10/30/2023,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,5578.98,Posted,Salary,.,
10/31/2023,USAA Credit Card,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Transfer,1471.7,Posted,CC Payments,.,
10/31/2023,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-1471.7,Posted,CC Payments,.,
11/1/2023,Post Oak Bbq,TST* POST OAK BBQ        DENVER       CO,Restaurants,-23.23,Posted,Food - Nice,.,
11/2/2023,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********NS3F,Uncategorized,-2000,Posted,Rent,.,
11/2/2023,Honda Financial,HONDA PMT        8004489307 ***********2WOG,Auto Payment,-320,Posted,Car - Note,.,
11/2/2023,Yardi,YARDI SERVICECHG WEB PMTS   ***********FR3F,Mortgage & Rent,-0.95,Posted,Housing - Other,.,
11/3/2023,Mugi Ramen and Poke,MUGI RAMEN AND POKE      WESTMINSTER  CO,Food & Dining,-16.17,Posted,Food - Nice,.,
11/3/2023,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********PS4F,Uncategorized,-17.85,Posted,Rent,.,
11/3/2023,Yardi,YARDI SERVICECHG WEB PMTS   ***********GS4F,Mortgage & Rent,-0.95,Posted,Housing - Other,.,
11/4/2023,T-Mobile,TMOBILE*AUTO PAY         800-937-8997 WA,Mobile Phone,-43.63,Posted,Utilities,.,
11/5/2023,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-95.69,Posted,Groceries,.,
11/6/2023,Jersey Mike's Subs,JERSEY MIKES 22003       WESTMINSTER  CO,Fast Food,-9.12,Posted,Food - Nice,.,
11/6/2023,Boulderswing,BOULDERSWING             BOULDERSWINGDCO,Entertainment,-50,Posted,Self-improvement,.,Swing class
11/6/2023,Conoco,CONOCO - SEI 25325       WESTMINSTER  CO,Gas,-32.83,Posted,Car - Other,.,
11/7/2023,Nature Conservancy,Nature Conservancy       800-6286860  VA,Gifts & Donations,-30,Posted,Other - Other,.,
11/7/2023,Advs Ed Serv Web Studntloan,ADVS ED SERV WEB STUDNTLOAN ***********GSL1,Student Loan,-1424.58,Posted,Self-improvement,.,Student loans
11/8/2023,Mugi Ramen and Poke,MUGI RAMEN AND POKE      WESTMINSTER  CO,Food & Dining,-16.17,Posted,Food - Nice,.,
11/9/2023,The Pasty Republic,SQ *THE PASTY REPUBLIC   Denver       CO,Fast Food,-23.74,Posted,Food - Nice,.,
11/9/2023,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-28.76,Posted,Groceries,.,
11/9/2023,Mobile Deposit,DEPOSIT@MOBILE,Income,1233,Posted,Rent,.,Security deposit refund
11/9/2023,Comcast,COMCAST          CABLE      ***********3283,Utilities,56.69,Posted,Internet,.,
11/10/2023,Spotify,PAYPAL           INST XFER  ***********USAI,Music,-11.9,Posted,Entertainment - Other,.,Spotify
11/12/2023,CVS,CVS/PHARMACY #10784      DENVER       CO,Pharmacy,-19.76,Posted,Housing - Other,.,
11/13/2023,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********4530,Financial,-163.71,Posted,Car/Rental Insurance,.,
11/14/2023,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,708.17,Posted,Salary,.,Bonus?
11/16/2023,Membership,PAYPAL * MEMBERSHIP      402-935-7733 CA,Entertainment,-2,Posted,Entertainment - Other,.,
11/18/2023,Lucy's Burger Bar,TST* LUCY'S BURGER BAR   612-202-3545 CO,Food & Dining,-40.24,Posted,Food - Nice,.,
11/18/2023,Cosmos Pizza Federal,COSMOS PIZZA - FEDERAL   DENVER       CO,Food & Dining,-31.05,Posted,Food - Nice,.,
11/20/2023,King Soopers,KING SOOPERS #0657 FUEL QWHEAT RIDGE  CO,Gas,-29.13,Posted,Car - Other,.,
11/20/2023,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-46.3,Posted,Groceries,.,
11/20/2023,Grandmaster Games,GRANDMASTER GAMES        BOULDER      CO,Shopping,-70.46,Posted,Other - Other,.,Board games
11/20/2023,Great Clips,9480 GREAT CLIPS AT BROOMBROOMFIELD   CO,Hair,-30,Posted,Clothes/Personal care,.,
11/21/2023,Call Your Mother,TST* CALL YOUR MOTHER - TDenver       CO,Restaurants,-13.66,Posted,Food - Nice,.,
11/22/2023,Qdoba,QDOBA 2063               WESTMINSTER  CA,Fast Food,-12.67,Posted,Food - Nice,.,
11/22/2023,It's Brothers Bar Gril,IT'S BROTHERS BAR GRIL   DENVER       CO,Restaurants,-30.63,Posted,Dates,.,
11/22/2023,Boulderswing,BOULDERSWING             BOULDERSWINGDCO,Entertainment,-15,Posted,Self-improvement,.,Elective class
11/22/2023,Bar Louie,TST* BAR LOUIE - DENVER  DENVER       CO,Alcohol & Bars,-46.08,Posted,Dates,.,Sky
11/24/2023,Interest Paid,INTEREST PAID,Interest Income,0.07,Posted,Income - Other,.,
11/26/2023,Best Buy,PAYPAL *BESTBUY COM      402-935-7733 MN,Electronics & Software,-65.24,Posted,Housing - Other,.,Headset
11/27/2023,Weyco Shoes,PAYPAL *WEYCO SHOES      402-935-7733 WI,Clothing,-156.24,Posted,Clothes/Personal care,.,Florsheim
11/27/2023,Mad Greens,MAD GREENS MG0115        WESTMINSTER  CO,Restaurants,-13.32,Posted,Food - Nice,.,
11/27/2023,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,100,Posted,Other - Other,.,Jill Christmas gift
11/28/2023,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-81.49,Posted,Groceries,.,
11/29/2023,Google Store,PAYPAL *GOOGLE STORE     402-935-7733 CA,Shopping,-670.79,Posted,Housing - Other,.,Phone
11/29/2023,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,5579.1,Posted,Salary,.,
11/30/2023,Colorado Division of Motor Vehicles,CO MOTOR VEH SERV EMV    DENVER       CO,Auto & Transport,-144.58,Posted,Car - Other,.,
12/1/2023,Rj?s Tacowich,SQ *RJ?S TACOWICH        Denver       CO,Fast Food,-23.5,Posted,Food - Nice,.,First Friday with Sky
12/3/2023,USAA Credit Card,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Transfer,1916.08,Posted,CC Payments,.,
12/3/2023,Recurring Reward Points Redemption,RECURRING REWARD POINTS REDEMPTION,Transfer,25,Posted,Income - Other,.,
12/4/2023,Cornerstoneapart Web,CORNERSTONEAPART WEB PMTS   ***********9Q9F,Uncategorized,-2035.3,Posted,Rent,.,
12/4/2023,Honda Financial,HONDA PMT        8004489307 ***********9256,Auto Payment,-320,Posted,Car - Note,.,
12/4/2023,Yardi,YARDI SERVICECHG WEB PMTS   ***********4P9F,Mortgage & Rent,-0.95,Posted,Rent,.,
12/4/2023,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-1916.08,Posted,CC Payments,.,
12/4/2023,T-Mobile,TMOBILE*AUTO PAY         800-937-8997 WA,Mobile Phone,-35,Posted,Utilities,.,
12/5/2023,Advs Ed Serv Web Studntloan,ADVS ED SERV WEB STUDNTLOAN ***********5341,Student Loan,-2233,Posted,Self-improvement,.,Student loans
12/6/2023,Boulderswing,BOULDERSWING BOULDERSWINGD CO     CREDIT,Entertainment,15,Posted,Self-improvement,.,
12/7/2023,Nature Conservancy,Nature Conservancy       800-6286860  VA,Gifts & Donations,-30,Posted,Other - Other,.,
12/7/2023,CVS,CVS/PHARMACY #10784      DENVER       CO,Pharmacy,-35.17,Posted,Medical - Other,.,
12/10/2023,King Soopers,KING SOOPERS #0657 FUEL QWHEAT RIDGE  CO,Gas,-24.47,Posted,Car - Other,.,
12/10/2023,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-152.67,Posted,Groceries,.,
12/11/2023,Spotify,PAYPAL           INST XFER  ***********USAI,Music,-11.9,Posted,Entertainment - Other,.,
12/11/2023,Jinya,JINYA                    DENVER       CO,Restaurants,-45.07,Posted,Dates,.,Mercedes
12/11/2023,LAZ Parking,LAZ PARKING 760127       DENVER       CO,Parking,-8,Posted,Dates,.,Mercedes
12/12/2023,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********4530,Financial,-163.71,Posted,Car/Rental Insurance,.,
12/15/2023,I Hop Ipa,SQ *I HOP IPA            BROOMFIELD   CO,Business Services,-10.65,Posted,Going Out,.,
12/15/2023,Out Thornton,IN-N-OUT THORNTON        THORNTON     CO,Fast Food,-8.01,Posted,Food - Nice,.,
12/15/2023,Steam,PAYPAL *STEAM GAMES      4259522985   WA,Entertainment,-21.65,Posted,Games,.,
12/16/2023,Patreon,PAYPAL *PATREON INC  MEMB402-935-7733 CA,Entertainment,-2,Posted,Entertainment - Other,.,
12/17/2023,Que Bueno Suerte,QUE BUENO SUERTE         DENVER       CO,Alcohol & Bars,-17.04,Posted,Dates,.,Hope
12/19/2023,Mugi Ramen and Poke,MUGI RAMEN AND POKE      WESTMINSTER  CO,Food & Dining,-16.17,Posted,Food - Nice,.,
12/19/2023,Swiss Flower & Gift,SWISS FLOWER & GIFT      WHEAT RIDGE  CO,Shopping,-113.4,Posted,Other - Other,.,Jill Christmas gift
12/19/2023,King Soopers,KING SOOPERS #0057       WHEAT RIDGE  CO,Groceries,-56.44,Posted,Groceries,.,
12/19/2023,LAZ Parking,PAYPAL *LAZ PARKING ECOMM402-935-7733 CT,Parking,-20.65,Posted,Dates,.,Hope
12/21/2023,Lucy's Burger Bar,TST* LUCY'S BURGER BAR   612-202-3545 CO,Food & Dining,-27.27,Posted,Food - Nice,.,
12/23/2023,Kindle,Kindle Svcs*GC7ZI6A63    888-802-3080 WA,Books,-14.06,Posted,Books,.,
12/23/2023,Kindle,Kindle Svcs*J57YI2MI3    888-802-3080 WA,Books,-10.81,Posted,Books,.,
12/23/2023,Lyft,PAYPAL *LYFT TEMP AUTH HO402-935-7733 CA,Rental Car & Taxi,-62.26,Posted,Big Fun,.,Christmas travel
12/24/2023,Recurring Reward Points Redemption,RECURRING REWARD POINTS REDEMPTION,Credit Card Payment,25,Posted,Income - Other,.,
12/26/2023,Interest Paid,INTEREST PAID,Interest Income,0.08,Posted,Income - Other,.,
12/26/2023,Birraporettis,BIRRAPORETTIS            713-2249494  TX,Restaurants,-115.01,Posted,Big Fun,.,Christmas dinner
12/27/2023,Hallmark,KARENS HALLMARK 15       HOUSTON      TX,Gift,-39.49,Posted,Other - Other,.,
12/28/2023,Insperity,"ASF, DBA Insperi PAYROLL    ***********5626",Paycheck,5579.1,Posted,Salary,.,
12/29/2023,Lyft,PAYPAL *LYFT TEMP AUTH HO402-935-7733 CA,Rental Car & Taxi,-14.83,Posted,Big Fun,.,Christmas travel
12/29/2023,East Dia,RTD EAST DIA             DENVER       CO,Travel,-10.5,Posted,Big Fun,.,Christmas travel
12/29/2023,The Grateful Gnome,THE GRATEFUL GNOME       973-8858125  CO,Alcohol & Bars,-12.9,Posted,Food - Nice,.,
1/2/2024,USAA Credit Card,USAA CREDIT CARD PAYMENT SAN ANTONIO  TX,Transfer,0,Posted,CC Payments,.,"Date-shifted to match withdrawal, non-zero amount on 2024 sheet"
